BioProject	SRR
1336731	41020117
1336731	41020116
1336731	41020115
1336731	41020114
1336731	41020113
1336731	41020112
1336731	41020111
1336731	41020110
1336731	41020109
1336731	41020108
1336731	41020107
1336731	41020106
1336731	41020105
1336731	41020104
1336731	41020103
1336731	41020102
1336731	41020101
1336731	41020100
1336731	41020099
1336731	41020098
1336731	41020097
1336731	41020096
1336731	41020095
1336731	41020094
1336731	41020093
1336731	41020092
1336731	41020091
1336731	41020090
1336731	41020089
1336731	41020088
1336731	41020087
1336731	41020086
1336731	41020085
1336731	41020084
1336731	41020083
1336731	41020082
1336731	41020081
1336731	41020080
1336731	41020079
1336731	41020078
1089063	37056262
1089063	32296712
988282	31134313
988282	28423210
988282	28423209
988282	28423208
988282	28423207
988282	28423206
988282	28423205
988282	28423204
988282	28423203
988282	28423202
988282	28423201
988282	28423200
988282	28423199
988282	28423198
988282	28423197
988282	28423196
988282	28423195
988282	28423194
988282	28423193
988282	28423192
988282	28423191
988282	28423190
988282	28423189
988282	28423188
988282	28423187
988282	28423186
907389	25489698
907389	25489697
907389	25489696
907389	25489695
907389	25489694
907389	25489693
907389	25489692
907389	25489691
907389	25489690
907389	25489689
907389	25489688
907389	25489687
907389	25489686
907389	25489685
907389	25489684
907389	25489683
907389	25489682
907389	25489681
907389	25489680
907389	25489679
907389	25489678
907389	25489677
907389	25489676
907389	25489675
907389	25489674
907389	25489673
907389	25489672
907389	25489671
907389	25489670
907389	25489669
907389	25489668
907389	25489667
907389	25489666
907389	25489665
907389	25489664
907389	25489663
907389	25489662
907389	25489661
907389	25489660
907389	25489659
907389	25489658
907389	25489657
907389	25489656
907389	25489655
907389	25489654
907389	25489653
907389	25489652
907389	25489651
650220	11527312
650220	11527311
650220	11527310
650220	11527309
650220	11527308
650220	11527307
650220	11527306
650220	11527305
650220	11527304
650220	11527303
650220	11527302
650220	11527301
650220	11527300
650220	11527299
630329	11251164
630329	11251163
630329	11251162
630329	11251161
630329	11251160
630329	11251159
630329	11251158
630329	11251157
630329	11251156
630329	11251155
630329	11251154
630329	11251153
630329	11251152
630329	11251151
630329	11251150
630329	11251149
630329	11251148
630329	11251147
630329	11251146
630329	11251145
630329	11251144
630329	11251143
630329	11251142
630329	11251141
630329	11251140
630329	11251139
630329	11251138
630329	11251137
630329	11251136
630329	11251135
630329	11251134
630329	11251133
630329	11251132
630329	11251131
630329	11251130
630329	11251129
630329	11251128
630329	11251127
630329	11251126
630329	11251125
630329	11251124
630329	11251123
630329	11251122
630329	11251121
630329	11251120
630329	11251119
630329	11251118
630329	11251117
630329	11251116
630329	11251115
630329	11251114
630329	11251113
630329	11251112
630329	11251111
630329	11251110
630329	11251109
630329	11251108
630329	11251107
630329	11251106
630329	11251105
630329	11251104
630329	11251103
630329	11251102
630329	11251101
630329	11251100
630329	11251099
630329	11251098
630329	11251097
630329	11251096
630329	11251095
630329	11251094
630329	11251093
630329	11251092
630329	11251091
630329	11251090
630329	11251089
630329	11251088
630329	11251087
630329	11251086
630329	11251085
630329	11251084
630329	11251083
630329	11251082
630329	11251081
630329	11251080
630329	11251079
630329	11251078
630329	11251077
630329	11251076
630329	11251075
630329	11251074
630329	11251073
630329	11251072
630329	11251071
630329	11251070
630329	11251069
630329	11251068
630329	11251067
630329	11251066
630329	11251065
630329	11251064
630329	11251063
630329	11251062
630329	11251061
630329	11251060
630329	11251059
630329	11251058
630329	11251057
630329	11251056
630329	11251055
630329	11251054
630329	11251053
630329	11251052
630329	11251051
630329	11251050
630329	11251049
630329	11251048
630329	11251047
630329	11251046
630329	11251045
630329	11251044
630329	11251043
630329	11251042
630329	11251041
630329	11251040
630329	11251039
630329	11251038
630329	11251037
630329	11251036
630329	11251035
630329	11251034
630329	11251033
630329	11251032
630329	11251031
630329	11251030
630329	11251029
630329	11251028
630329	11251027
630329	11251026
630329	11251025
630329	11251024
630329	11251023
630329	11251022
630329	11251021
630329	11251020
630329	11251019
630329	11251018
630329	11251017
630329	11251016
630329	11251015
630329	11251014
630329	11251013
630329	11251012
630329	11251011
630329	11251010
630329	11251009
630329	11251008
630329	11251007
630329	11251006
630329	11251005
630329	11251004
630329	11251003
630329	11251002
630329	11251001
630329	11251000
630329	11250999
630329	11250998
630329	11250997
630329	11250996
630329	11250995
630329	11250994
630329	11250993
630329	11250992
630329	11250991
630329	11250990
630329	11250989
630329	11250988
630329	11250987
630329	11250986
630329	11250985
630329	11250984
630329	11250983
630329	11250982
630329	11250981
630329	11250980
630329	11250979
630329	11250978
630329	11250977
630329	11250976
630329	11250975
630329	11250974
630329	11250973
630329	11250972
630329	11250971
630329	11250970
630329	11250969
630329	11250968
630329	11250967
630329	11250966
630329	11250965
630329	11250964
630329	11250963
630329	11250962
630329	11250961
630329	11250960
630329	11250959
630329	11250958
630329	11250957
630329	11250956
630329	11250955
630329	11250954
630329	11250953
630329	11250952
630329	11250951
630329	11250950
630329	11250949
630329	11250948
630329	11250947
630329	11250946
630329	11250945
630329	11250944
630329	11250943
630329	11250942
630329	11250941
630329	11250940
630329	11250939
630329	11250938
630329	11250937
630329	11250936
630329	11250935
630329	11250934
630329	11250933
630329	11250932
630329	11250931
630329	11250930
630329	11250929
630329	11250928
630329	11250927
630329	11250926
630329	11250925
630329	11250924
630329	11250923
630329	11250922
630329	11250921
630329	11250920
630329	11250919
630329	11250918
630329	11250917
630329	11250916
630329	11250915
630329	11250914
630329	11250913
630329	11250912
630329	11250911
630329	11250910
630329	11250909
630329	11250908
630329	11250907
630329	11250906
630329	11250905
630329	11250904
630329	11250903
630329	11250902
630329	11250901
630329	11250900
