ProjectId	ProjectAcc	ProjectDate	ProjectTitle	ProjectDescription	OrganismName	OrganismStrain
1364369	PRJEB101302	2025/11/16 00:00	Exaiptasia longitudinal microbiomes across temperatures	Under global warming scenarios, the deterioration of host and microbiome health will likely co-occur across our coastal oceans, posing a significant threat to complex symbioses. Photosymbiotic invertebrates, such as corals, must manage a complex set of microbial partners, a challenge that becomes substantially more difficult under rising ocean temperatures. Despite the centrality of these organisms to reef ecosystems, the changes in microbiome under long-term decline and temperature stress remain poorly understood. To track the shift in microbiome communities over time under heat scenarios, we undertook a tiered experiment in which multiple populations of the cnidarian model Exaiptasia diaphana were monitored for host physiological stress. Examining a range, from current temperatures to future warming scenarios, across six months. Under these conditions, we find microbial networks that become increasingly well-connected at higher temperatures, and a small suite of potential indicator taxa that signal a host under heat stress well before population- level declines. Overall, we describe a highly dynamic microbiome with fewer than 1% of ASVs reliably linked to heat stress.		
1336731	PRJNA1336731	2025/09/30 00:00	Symbiotic state modulates microbiome recovery following depletion in a facultatively symbiotic cnidarian	This study explored microbiome depletion and recovery following antibiotic treatment in symbiotic and aposymbiotic Exaiptasia pallida, a facultatively symbiotic sea anemone. We used 16S gene sequencing of the bacterial microbiome to characterize taxa during recovery following antibiotic treatment. We characterized the host molecular response to microbiome depletion and recovery using whole-animal gene expression profiling and Western blotting of the innate immune transcription factor NF-kappaB. This study reveals dynamics of microbiome recovery following depletion and the influence of microbiome community members on host gene expression, providing a foundation for work for future research involving pairwise interactions between beneficial microorganisms and cnidarian hosts		
1297037	PRJNA1297037	2025/07/25 00:00	Exaiptasia diaphana Aiptasia strains F003 H2 microbiome	16S rRNA gene profiling of Aiptasia F003 and H2 rearing cultures and 16S full length reference sequences of bacterial isolates	coral metagenome	
1254620	PRJNA1254620	2025/04/23 00:00	Manipulation of the Symbiodiniaceae microbiome influences symbioses and reproductive ecology in the host, Exaiptasia diaphana, over generations	Little is known of the role and function that Symbiodiniaceae-associated microbiota contribute to cnidarian symbioses. To identify how the bacterial and fungal communities associated with Symbiodiniaceae may affect the cnidarian holobiont Exaiptasia diaphana (Aiptasia), we treated cultures of the symbiodiniacean Breviolum minutum (SSB01) with antibacterial and antifungal compounds. We then inoculated asexually-derived aposymbiotic juvenile Aiptasia (G1 generation) with exposed B. minutum cultures and recorded holobiont characteristics over 30 days. We identified significant differences in the bacterial and fungal communities of larger G1 juveniles, when compared to smaller G1s, with both size classes asexually produced from the same G0 parents, suggesting a maturation of the associated microbial communities with development. Additionally, we observed distinct treatment differences in the onset of Symbiodiniaceae symbioses between these two G1 size classes. Control B. minutum cultures exhibited a significantly greater infection rate in larger G1 anemones when compared with cultures exposed to either antibacterial and antifungal compounds, whereas the opposite trend was documented in the smaller G1 anemones. While no differences were observed between algal photochemical parameters, or the growth and behavior of G1 juveniles, we observed a significant variation in the production of G2 juveniles between treatments. Overall, we document strong ecological implications of manipulating Symbiodiniaceae microbiota, not for the algae themselves, but for the cnidarian holobiont, as well as for maturation of Aiptasia individuals.		
1089063	PRJNA1089063	2024/03/18 00:00	Exaiptasia diaphana isolate:F003 Genome sequencing	Coral reefs depend upon a functional symbiosis between cnidarian hosts and unicellular dinoflagellate algae of the family Symbiodinidaceae. Exaiptasia sp., a genus of globally distributed sea anemone, have become an important model system for cnidarian-dinoflagellate endosymbioses and the role of the microbiome in affecting metaorganism biology and adaptive capacity. Here we sequenced and assembled the genome of the Aiptasia model, strain F003.	Exaiptasia diaphana	
1048100	PRJNA1048100	2023/12/03 00:00	Microbiome depletion and recovery in the sea anemone, Aiptasia, following antibiotic exposure	This study exposed the sea anemone model Exaiptasia diaphana to two different antibiotic solutions, and tracked host physiology parameters and 16s community composition to monitor host responses to exposure dynamics of bacterial communities during and after antibiotic exposure.		
988282	PRJNA988282	2023/06/28 00:00	Microbiome of Exaiptasia diaphana and Berghia stephanieae fed and under different starvation conditions	The cladobranch Berghia stephanieae is able to incorporate photobionts of its food source Exaiptasia diaphana and keeps these photobionts active for up to 5 days. Although both species are well-studied model organisms in the realm of mollusc-dinoflagellate ecology, the microbiome and its contribution to the photosymbiosis of the slugs has long been overlooked. Here we present the first microbiome analysis of freshly fed B. stephanieae and its food source under different one-week starvation conditions (low light, high light and dark).		
951783	PRJNA951783	2023/04/03 00:00	Microbiome of the sea anemone Exaiptasia diaphana (CC7 clonal line)	We examined the response of microbial communities in the sea anemone Exaiptasia diaphana (Aiptasia, CC7 clonal line) to short-term thermal elevation. Through 16S rRNA gene sequencing, we characterized the microbiomes of symbiotic (with algal symbionts) and aposymbiotic (bleached) anemones under ambient (27 degrees Celsius) and heat-stressed (34 degrees Celsius) conditions for 8-10 days, using both endpoint and time-course approaches.		
929535	PRJNA929535	2023/01/30 00:00	Microbial fluctuations following mild Aiptasia thermal stress	To determine whether symbiont loss contributes to microbiome fluctuations of the rising model organism, anemone Aiptasia clone CC7. Here, we surveyed microbial shifts and symbiont loss under experimental thermal stress conditions.		
907389	PRJNA907389	2022/12/01 00:00	Bacterial microbiome variation across body part and symbiotic state in a cnidarian model	16s rRNA sequencing of bacterial communities in Aiptasia across genets (H2, CC7, VWA, VWB), symbiotic state (symbiont-rich or symbiont-depleted), and body part (mouth/tentacles vs. lower stalk/pedal disk)		
